term,Category,Freq,Term,Total,loglift,logprob
500,Topic1,0.3672922928519431,기간,0.7620307443616534,0.8018994257670581,0.003380413218679871
2,Topic1,0.35708515225863174,10월,0.8731119613994032,0.7506513777607067,0.003286470727486727
2208,Topic1,0.35482848367219183,작가,0.35482848367219183,1.0,0.0032657012409817196
202,Topic2,1.815901709336012,개최,2.8718878659675675,0.8965480751498194,0.018865753503196837
2425,Topic2,1.7657205964162297,종목,1.76572059641623,1.0,0.01834441223125824
745,Topic2,1.6642513517693611,대회,1.7602313398338663,0.9886859204360856,0.01729022865523012
1871,Topic2,1.603845187546995,올림픽,1.8959708562797268,0.9651191303552128,0.016662657350883764
447,Topic2,1.5212459472066073,국제,1.7721313477898275,0.9683123146938613,0.01580451789333413
2865,Topic2,1.5037086346915745,패럴림픽,1.503708634691574,1.0000000000000002,0.015622319367215597
90,Topic2,1.173442273305236,8월,2.2810800443554653,0.8422479242841412,0.012191118365377972
1345,Topic2,1.1270353817707763,상봉,1.2761065802707625,0.9744256843428454,0.011708988208201774
2582,Topic2,1.0653588655185546,참가,1.1398944647685478,0.986307608374376,0.011068218971316263
602,Topic2,1.001202363982222,남북,1.9444668300202785,0.8424999801061778,0.01040168468843677
2067,Topic2,0.9827620527212965,이산가족,1.2685504366262155,0.945445355242204,0.010210104733980954
2552,Topic2,0.9136826534802015,진행,1.5484963446137567,0.8788398623595881,0.009492425516250628
894,Topic2,0.8679513531977197,메달,0.9364702241804728,0.9845771836650294,0.009017314207045766
738,Topic2,0.865879129092701,대한민국,2.3278706883361693,0.7490455385474414,0.008995785470678773
1423,Topic2,0.855825381089573,선수,1.0613819940378324,0.9545090059475767,0.008891335141327178
1301,Topic2,0.848464487352642,사이트,1.1849835566040174,0.9270417499556168,0.008814861394928791
183,Topic2,0.8427631614668056,개국,0.9304689633975083,0.9797677115065211,0.008755629219392744
2886,Topic2,0.819439707720959,평창,0.9685109062209449,0.9651602313160254,0.008513317354741633
250,Topic2,0.8004475022823363,경기,1.0542135444765615,0.9408159821834503,0.008316003665104685
486,Topic2,0.7471599611110151,금메달,0.747159961111015,1.0000000000000002,0.007762389110219339
105,Topic2,0.7280158436860342,com,1.6144524430696887,0.8054091146735599,0.00756349717762239
2429,Topic2,0.7200121470791857,종합,1.145594146665298,0.8950267704839475,0.007480345228085215
788,Topic2,0.671997751566062,동계,0.7465333508160548,0.9784652206333433,0.006981514401670712
1687,Topic2,0.6497445858454511,아시안게임,0.6497445858454513,1.0,0.006750321965983021
774,Topic2,0.6067380061569771,도쿄,0.6868020830595208,0.9744841302019207,0.006303518305164275
849,Topic2,0.5820685951244414,리우,0.5820685951244415,1.0,0.006047223030361636
1919,Topic2,0.5795557284175727,운영,0.8123366984223553,0.9261842923164448,0.006021116372917324
